Unique identifier for each respondent,Census Region,Census Division,Reportable states and groups of states,Type of housing unit,Final sample weight,"Heating degree days in 2009, base temperature 65F","Cooling degree days in 2009, base temperature 65F","Total Site Electricity usage, in kilowatt-hours, 2009","Total Site Electricity usage, in thousand BTU, 2009","Total Natural Gas usage, in hundred cubic feet, 2009","Total Natural Gas usage, in thousand BTU, 2009","Electricity usage for other purposes (all end-uses except SPH, COL, WTH, and RFG), in thousand BTU, 2009","Electricity usage for refrigerators, in thousand BTU, 2009","Electricity usage for air-conditioning, central and window/wall (room), in thousand BTU, 2009","Electricity usage for water heating, in thousand BTU, 2009","Electricity usage for space heating, in thousand BTU, 2009","Natural Gas usage for other purposes (all end-uses except SPH and WTH), in thousand BTU, 2009","Natural Gas usage for water heating, in thousand BTU, 2009","Natural Gas usage for space heating, in thousand BTU, 2009"
142,1,2,5,3,11849.23,4314,1314,5876,20049,907,92968,15927.65,3208.98,912.37,0,0,14806.87,23457.45,54703.68
143,4,9,24,5,5403.9,1022,3872,11579,39508,237,24293,19148.36,4464.55,15895.09,0,0,0,24293,0
144,2,4,11,5,6035.85,6240,853,4641,15835,0,0,5175.67,1461.35,706.75,2887.58,5603.66,0,0,0
145,2,4,10,2,4232.49,7491,555,12658,43189,822,84255,34852.2,5846.26,637.01,0,1853.53,0,23649.82,60605.18
146,3,7,20,2,15942.39,1396,2955,11797,40251,0,0,18697.05,4155.63,5720.02,5235.68,6442.64,0,0,0
147,3,7,21,2,10506.97,1322,3018,10928,37286,276,28290,19155.48,3800.03,14330.49,0,0,1174.99,7909.79,19205.22
148,1,2,3,5,7564.85,6571,442,4150,14160,635,65088,11409.81,2750.19,0,0,0,8834.34,13638.36,42615.3
149,3,7,21,2,7756.87,2545,2379,28797,98255,411,42128,62223.96,14472.54,21558.5,0,0,0,15731.77,26396.23
150,1,2,4,2,15489.57,4864,793,4647,15856,767,78618,11850.56,1547.86,2457.58,0,0,10992.01,16501.93,51124.07
151,3,5,16,1,18040.12,3508,1419,28058,95734,0,0,50902.2,5969.24,7631.43,28401.32,2829.81,0,0,0
152,4,10,26,5,8500.6,2408,705,5649,19274,328,33620,14513.35,3658.58,1102.07,0,0,10615.01,11492,11512.99
153,3,5,16,2,15966.07,3377,1723,13559,46263,441,45203,26627.8,3094.49,16540.71,0,0,0,15367.63,29835.37
154,3,7,21,2,7756.87,2522,2419,14598,49808,136,13940,26155.86,12151.1,11501.04,0,0,1033.15,5097.77,7809.09
155,3,5,16,2,10380.28,3609,1817,14943,50986,822,84256,25089.31,2442.91,13932.52,8333.88,1187.39,0,0,84255.5
156,2,4,11,2,4224,4782,1330,7089,24188,935,95838,15392.7,3583.79,5211.52,0,0,0,27213.97,68624.03
157,1,2,4,2,18204.89,5447,746,3977,13570,1155,118388,10639.46,2930.54,0,0,0,3833.31,25805.01,88749.68
158,3,6,18,2,11362.76,1605,2685,19055,65016,190,19475,25960.1,9028.07,25561.39,0,4466.45,0,19475,0
159,3,5,13,2,18935.07,4350,1167,1790,6107,708,72570,3154.86,2145.26,806.88,0,0,3422.77,8135.3,61011.94
160,3,5,15,5,6590.83,2710,1911,13374,45632,0,0,20753.63,2112.36,3545.11,9877.52,9343.37,0,0,0
161,2,3,8,2,20603.47,5744,684,8501,29005,620,63550,22403.63,5235.24,1366.12,0,0,10005.42,10596.17,42948.41
162,3,5,14,5,12998.79,4628,1164,9630,32858,206,21115,12418.25,3598.4,4039.85,0,12801.51,9447.3,11667.71,0
163,3,7,20,2,15075.45,3224,1868,11481,39173,440,45100,25311.84,7145.83,6715.34,0,0,3624.38,9818.48,31657.14
164,1,2,4,5,15910.29,4848,848,7852,26791,280,28700,7971.2,4168.37,2458.86,12192.58,0,4918.49,0,23781.51
165,2,4,10,2,4751.97,5726,785,5160,17606,385,39463,10660.91,1987.63,828.31,4129.15,0,0,0,39463
166,3,7,21,4,6787.05,1421,3529,15459,52746,0,0,26986.58,2803.62,0,13384.59,9571.21,0,0,0
